,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
4541,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,02:02:00,Falcon 9 Block 5,Starlink Group 4-6,Active,67,Success
4544,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,23:11:00,Falcon 9 Block 5,CSG-2,Active,67,Success
4545,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,20:27:00,Falcon 9 Block 5,NROL-87,Active,67,Success
4546,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,18:13:00,Falcon 9 Block 5,Starlink Group 4-7,Active,67,Success
4553,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,14:44:00,Falcon 9 Block 5,Starlink Group 4-8,Active,67,Success
4554,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,17:12:00,Falcon 9 Block 5,Starlink Group 4-11,Active,67,Success
4559,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,14:25:00,Falcon 9 Block 5,Starlink Group 4-9,Active,67,Success
4562,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,13:45:00,Falcon 9 Block 5,Starlink Group 4-10,Active,67,Success
4566,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,04:42:00,Falcon 9 Block 5,Starlink Group 4-12,Active,67,Success
4571,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,16:24:00,Falcon 9 Block 5,Transporter 4,Active,67,Success
4575,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,15:17:00,Falcon 9 Block 5,Axiom Mission 1 (Ax-1),Active,67,Success
4578,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,13:13:00,Falcon 9 Block 5,NROL-85,Active,67,Success
4579,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,17:51:00,Falcon 9 Block 5,Starlink Group 4-14,Active,67,Success
4580,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,07:52:00,Falcon 9 Block 5,SpaceX Crew-4,Active,67,Success
4583,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,21:27:00,Falcon 9 Block 5,Starlink Group 4-16,Active,67,Success
4587,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,09:42:00,Falcon 9 Block 5,Starlink Group 4-17,Active,67,Success
4590,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,22:07:00,Falcon 9 Block 5,Starlink Group 4-13,Active,67,Success
4591,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,20:40:00,Falcon 9 Block 5,Starlink Group 4-15,Active,67,Success
4592,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,10:59:00,Falcon 9 Block 5,Starlink Group 4-18,Active,67,Success
4596,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,18:35:00,Falcon 9 Block 5,Transporter 5,Active,67,Success
4601,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,21:04:00,Falcon 9 Block 5,Nilesat-301,Active,67,Success
4602,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,16:09:00,Falcon 9 Block 5,Starlink Group 4-19,Active,67,Success
4603,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,14:19:00,Falcon 9 Block 5,SARah 1,Active,67,Success
4604,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,04:27:00,Falcon 9 Block 5,Globalstar FM15 & USA 328 to 331,Active,67,Success
4611,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,21:04:00,Falcon 9 Block 5,SES-22,Active,67,Success
4616,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,13:11:00,Falcon 9 Block 5,Starlink Group 4-21,Active,67,Success
4617,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,01:39:00,Falcon 9 Block 5,Starlink Group 3-1,Active,67,Success
4622,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,00:44:00,Falcon 9 Block 5,CRS SpX-25,Active,67,Success
4624,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022,14:20:00,Falcon 9 Block 5,Starlink Group 4-22,Active,67,Success
4625,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022,17:39:00,Falcon 9 Block 5,Starlink Group 3-2,Active,67,Success
4627,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022,13:38:00,Falcon 9 Block 5,Starlink Group 4-25,Active,67,Success
